datetime_utc,sistema,fecha,hora,bandera,precio,fecha_actualizacion
"2022-01-25 00:00:00",ES,2022-01-25,2,0,212.9,"2022-01-24 17:24:29"
"2022-01-24 23:00:00",ES,2022-01-25,1,0,220.27,"2022-01-24 17:24:29"
"2022-01-24 22:00:00",ES,2022-01-24,24,0,215.02,"2022-01-24 17:24:29"
"2022-01-24 21:00:00",ES,2022-01-24,23,0,235.02,"2022-01-24 17:24:29"
"2022-01-24 20:00:00",ES,2022-01-24,22,0,250,"2022-01-24 17:24:29"
"2022-01-24 19:00:00",ES,2022-01-24,21,0,274.98,"2022-01-24 17:24:29"
"2022-01-24 18:00:00",ES,2022-01-24,20,0,297.33,"2022-01-24 17:24:29"
"2022-01-24 17:00:00",ES,2022-01-24,19,0,265,"2022-01-24 17:24:29"
"2022-01-24 16:00:00",ES,2022-01-24,18,0,240,"2022-01-24 17:24:29"
"2022-01-24 15:00:00",ES,2022-01-24,17,0,231.77,"2022-01-24 17:24:29"
"2022-01-24 14:00:00",ES,2022-01-24,16,0,230.5,"2022-01-24 17:24:29"
"2022-01-24 13:00:00",ES,2022-01-24,15,0,229.4,"2022-01-24 17:24:29"
"2022-01-24 12:00:00",ES,2022-01-24,14,0,230.63,"2022-01-24 17:24:29"
"2022-01-24 11:00:00",ES,2022-01-24,13,0,231.21,"2022-01-24 17:24:29"
"2022-01-24 10:00:00",ES,2022-01-24,12,0,233.99,"2022-01-24 17:24:29"
"2022-01-24 09:00:00",ES,2022-01-24,11,0,239.52,"2022-01-24 17:24:29"
"2022-01-24 08:00:00",ES,2022-01-24,10,0,243.47,"2022-01-24 17:24:29"
"2022-01-24 07:00:00",ES,2022-01-24,9,0,243.47,"2022-01-24 17:24:29"
"2022-01-24 06:00:00",ES,2022-01-24,8,0,237.53,"2022-01-24 17:24:29"
"2022-01-24 05:00:00",ES,2022-01-24,7,0,224.83,"2022-01-24 17:24:29"
"2022-01-24 04:00:00",ES,2022-01-24,6,0,190,"2022-01-24 17:24:29"
"2022-01-24 03:00:00",ES,2022-01-24,5,0,177.61,"2022-01-24 17:24:29"
"2022-01-24 02:00:00",ES,2022-01-24,4,0,177.46,"2022-01-24 17:24:29"
"2022-01-24 01:00:00",ES,2022-01-24,3,0,178.99,"2022-01-24 17:24:29"
"2022-01-24 00:00:00",ES,2022-01-24,2,0,179.97,"2022-01-24 17:24:29"
"2022-01-23 23:00:00",ES,2022-01-24,1,0,190.27,"2022-01-24 17:24:29"
"2022-01-23 22:00:00",ES,2022-01-23,24,0,204.3,"2022-01-24 17:24:29"
"2022-01-23 21:00:00",ES,2022-01-23,23,0,222.8,"2022-01-24 17:24:29"
"2022-01-23 20:00:00",ES,2022-01-23,22,0,247.3,"2022-01-24 17:24:29"
"2022-01-23 19:00:00",ES,2022-01-23,21,0,249,"2022-01-24 17:24:29"
"2022-01-23 18:00:00",ES,2022-01-23,20,0,244.31,"2022-01-24 17:24:29"
"2022-01-23 17:00:00",ES,2022-01-23,19,0,239.49,"2022-01-24 17:24:29"
"2022-01-23 16:00:00",ES,2022-01-23,18,0,214.95,"2022-01-24 17:24:29"
"2022-01-23 15:00:00",ES,2022-01-23,17,0,194,"2022-01-24 17:24:29"
"2022-01-23 14:00:00",ES,2022-01-23,16,0,190,"2022-01-24 17:24:29"
"2022-01-23 13:00:00",ES,2022-01-23,15,0,184.49,"2022-01-24 17:24:29"
"2022-01-23 12:00:00",ES,2022-01-23,14,0,186.29,"2022-01-24 17:24:29"
"2022-01-23 11:00:00",ES,2022-01-23,13,0,195.41,"2022-01-24 17:24:29"
"2022-01-23 10:00:00",ES,2022-01-23,12,0,195.87,"2022-01-24 17:24:29"
"2022-01-23 09:00:00",ES,2022-01-23,11,0,195.34,"2022-01-24 17:24:29"
"2022-01-23 08:00:00",ES,2022-01-23,10,0,195.31,"2022-01-24 17:24:29"
"2022-01-23 07:00:00",ES,2022-01-23,9,0,190,"2022-01-24 17:24:29"
"2022-01-23 06:00:00",ES,2022-01-23,8,0,189.99,"2022-01-24 17:24:29"
"2022-01-23 05:00:00",ES,2022-01-23,7,0,179.93,"2022-01-24 17:24:29"
